"ENSEMBL_DAna","mean.nrc.f","mean.nrc.m","pvalue","stderr","foldchanges","log2FoldChangeMF","ENSEMBL_DMel","SYMBOL_DMel"
"FBgn0096268",529.387282438898,369.730370043797,0.00244373342923301,31.9088381901542,-1.43181984854582,-0.517849984250634,"FBgn0026777","Rad23"
"FBgn0096005",48.6632766623231,78.1304208375444,0.0286940377398727,10.2929065346907,1.60553144375574,0.683050920003731,"FBgn0002524","lace"
"FBgn0096584",46.3007342907099,18.6290184396179,0.0044089451514921,6.24223380764015,-2.48540922543956,-1.31348341271537,"FBgn0032981","CG3635"
"FBgn0095971",4.68259842652598,17.8783370215526,0.00424479916661206,2.95314009073874,3.81803763488992,1.93283132364323,"FBgn0033403","CG13739"
"FBgn0095973",94.4860963689052,70.0845865001811,0.0127953717229984,6.96790199649843,-1.34817227420841,-0.431004860960323,"FBgn0033400","CG2063"
"FBgn0095970",22.6229498299215,45.4429707533373,0.00134193406016133,4.05246745123294,2.00871111393412,1.00627009544863,"FBgn0033401","Cog6"
"FBgn0098506",228.703701963643,167.632377137715,0.00251663372936674,12.2779798541531,-1.36431700050257,-0.448178895034928,"FBgn0033017","CG10465"
"FBgn0096616",0,23.5550203849453,0.0046344622089043,5.36963850445151,Inf,Inf,"FBgn0029657","CG12535"
"FBgn0096860",0,177.248225088387,1.06461137121598e-05,13.2170502361366,Inf,Inf,"FBgn0029656","CG10793"
"FBgn0096615",0,145.913219240505,0.000255393463897714,19.0042792901543,Inf,Inf,"FBgn0029658","CG14269"
"FBgn0096605",1.72966143724548,13.1239016569021,0.0249572642686598,3.83643421282952,7.58755521415927,2.92363510980706,"FBgn0028369","kirre"
"FBgn0097154",6.13451730505448,20.451730797791,0.000597042502137286,2.17984926359976,3.3338777577398,1.73720120644317,"FBgn0024913","Actbeta"
"FBgn0093006",0,1.81474712410294,0.0137687200291746,0.527250296729594,Inf,Inf,"FBgn0083981","RunxA"
"FBgn0093007",210.633942126023,1038.54547063468,1.53832251388413e-07,30.1378812989285,4.93057035419918,2.30175454306983,"FBgn0026323","Tak1"
"FBgn0093009",247.258193970284,404.80257730496,0.0043105742736093,35.3713485777107,1.63716546984732,0.711200143720302,"FBgn0031118","RhoGAP19D"
"FBgn0093011",161.63746103967,249.302621608631,0.000748513960650807,13.9254782793425,1.54235670373124,0.6251364586327,"FBgn0030555","Fbxl4"
"FBgn0093013",207.041209551698,286.166041526571,0.000251626552848767,10.2777826962039,1.3821694828107,0.466934531079832,"FBgn0259166","CG42271"
"FBgn0093016",2.48159330601288,10.3304536196406,0.0140202620574875,2.29020584071733,4.1628310306165,2.0575650006499,"FBgn0031005","Hs3st-B"
"FBgn0093019",137.006556572027,448.084165808254,0.00259389416027582,62.9221493019301,3.27053081998077,1.70952480979168,"FBgn0259834","out"
"FBgn0093020",261.064864320771,326.368876728377,0.0124847230515249,18.5405242827638,1.25014477753455,0.32209518107632,"FBgn0031002","CG14196"
"FBgn0093023",300.198487723216,136.730417634483,8.80308509301738e-05,17.5969397875112,-2.19555014105002,-1.1345824825028,"FBgn0052110","CG32110"
"FBgn0093024",27.872281652542,66.9688834873003,0.0150572310172129,11.6041016778857,2.40270546638913,1.26465980775905,"FBgn0030997","CG7990"
"FBgn0093025",102.940609827226,41.3820553452443,0.00320653412347089,12.9995919576334,-2.48756638519783,-1.31473502709055,"FBgn0030995","CG7914"
"FBgn0093026",377.496420067157,322.585168509152,0.00684465415784503,13.6101607276355,-1.17022249290561,-0.226782853650539,"FBgn0030990","CG7556"
"FBgn0093029",0.595516359157055,149.715961285411,1.21769838629173e-07,5.21957234868197,251.405287165129,7.97387118037127,"FBgn0030989","Inx5"
"FBgn0093030",235.363276199985,1427.52274074419,6.16062524398261e-06,80.9546446522992,6.06518894447767,2.6005525892889,"FBgn0261461","RhoGAP18B"
"FBgn0093034",0,60.2133638073814,0.00110971066896026,10.3082662628139,Inf,Inf,"FBgn0030982","CG7423"
"FBgn0093038",0,4.30483553310592,0.000475487984388721,0.628273905018732,Inf,Inf,"FBgn0030979","CG14190"
"FBgn0092991",125.099552993956,57.0175849257007,2.98346017534429e-06,4.08632038130094,-2.19405211842931,-1.133597796528,"FBgn0031126","Cyp6v1"
"FBgn0092988",99.4073390425164,196.042293957718,0.0230527407289019,31.8767106303088,1.97211087074639,0.979740661340416,"FBgn0031119","CG1812"
"FBgn0092987",0,92.3014077583628,0.000334717706092399,12.6286338829507,Inf,Inf,"FBgn0040649","CG15461"
"FBgn0092986",242.275600923704,335.199498478151,0.0118487281169677,26.0621804889172,1.38354624733223,0.468370869232815,"FBgn0031117","GstT3"
"FBgn0092985",6.69468928720816,19.2406044635,0.0228065018596235,4.12711381054048,2.87401007545846,1.52306511948087,"FBgn0052506","tbc"
"FBgn0092984",11.950625218452,54.648774381517,0.00255877984170571,8.6129285590301,4.57287994415038,2.19310304329697,"FBgn0031116","CG1695"
"FBgn0092983",50.2004093766011,34.6836529616875,0.0095677814150209,4.14350713035895,-1.44737953156358,-0.533443274675002,"FBgn0030522","CG11103"
"FBgn0092982",103.685160639926,84.3089711314303,0.0280411988010782,6.72678995944019,-1.22982357925219,-0.298451372806056,"FBgn0030554","CG1434"
"FBgn0092980",450.886722700028,7.65248397193869,8.9193787942252e-05,47.8239005769096,-58.9203093209223,-5.88069309916794,"FBgn0030551","CG11674"
"FBgn0092977",400.607264665476,236.815950263077,0.0177500270047647,50.5971886285434,-1.69163970678683,-0.75842232934323,"FBgn0031004","CG7992"
"FBgn0092976",257.846360093005,351.493977288114,0.0267567534981731,32.110795697485,1.36319154228638,0.446988289723233,"FBgn0031006","rictor"
"FBgn0092975",283.569477511882,80.1262817907607,4.1113362590093e-05,19.1608755807801,-3.53903202762343,-1.82335481796106,"FBgn0031008","CG8010"
"FBgn0092972",101.922467815546,165.550679617374,0.0170498263803361,19.46252230438,1.62428052583047,0.69980081865233,"FBgn0031010","CG8028"
"FBgn0092966",2083.50071681538,11858.0898750484,0.00271406479589191,1995.28657651108,5.69142586769707,2.50879013487866,"FBgn0030999","Mur18B"
"FBgn0092960",153.915652382667,302.983391252242,0.0184117176096542,46.4664633541568,1.96850279072956,0.97709875779482,"FBgn0262873","Diedel2"
"FBgn0092957",1.32407514728082,418.735942446005,3.59426683625155e-05,38.4032383427521,316.24786803524,8.30491194377818,"FBgn0052845","CG32845"
"FBgn0096310",41.092044933237,133.068114418073,0.00096131575231397,15.3195810045494,3.23829380198215,1.69523388355089,"FBgn0015773","NetA"
"FBgn0096311",65.3706963262426,0,0.0040729431346374,14.503867714526,-Inf,-Inf,"FBgn0038099","CG7091"
"FBgn0096307",156.269006569441,49.4879033995323,5.96994124556527e-05,10.7349442760657,-3.15772129822978,-1.65888384396408,"FBgn0030575","CG5321"
"FBgn0096306",0,44.0873464157031,0.00170271579616781,8.20136211224811,Inf,Inf,"FBgn0261806","CG42752"
"FBgn0273610",864.105110050261,614.931040163247,0.00558060913015166,59.0899487258449,-1.40520652498021,-0.490782180744037,"FBgn0020660","eIF4B"
"FBgn0097000",100.447383477196,41.1140971483196,0.000197081389307923,7.3741977735042,-2.44313728001446,-1.2887349309943,"FBgn0063670","CG40228"
"FBgn0274314",424.538364240671,181.668095985333,0.0105252838654894,66.2799433975155,-2.33689004080796,-1.22458985165894,"FBgn0287184","FASN3"
"FBgn0275265",13.7049642300591,29.9585012379848,0.0238820248437587,5.41048050473732,2.18595982704405,1.12826688780904,"FBgn0259821","CG42402"
"FBgn0100128",4.04159621142716,14.48236357953,0.0246380777589289,3.50366644290835,3.58332768092536,1.84129997824865,"FBgn0259821","CG42402"
"FBgn0100129",493.451139676292,977.246495227916,0.0115467840235379,134.878247188609,1.98043213735203,0.985815265855962,"FBgn0287209","Gfat1"
"FBgn0100132",0,180.299400722983,0.000255039403024773,23.4769557005788,Inf,Inf,"FBgn0038539","Atg8b"
"FBgn0100135",600.368582579479,756.606256077845,0.0132821062517418,45.0079218131309,1.26023625824505,0.33369422312743,"FBgn0261885","osa"
"FBgn0100137",122.011281747728,76.8163897249971,0.00437292126062509,10.1776045967751,-1.58834959810698,-0.667528486753914,"FBgn0038274","Nup93-2"
"FBgn0100140",4.14849950281256,18.6121115034883,0.00349046396945416,3.10802877678483,4.48646829796408,2.16558021692196,"FBgn0038596","CG14312"
"FBgn0100144",86.5588851223186,62.8123818124527,0.0324013748631845,8.57122060707496,-1.37805449538228,-0.462632940773134,"FBgn0263738","Ada2a"
"FBgn0100146",58.0842568329023,80.7083010849999,0.00519268916171337,5.28319428222893,1.38950389461266,0.474569878245206,"FBgn0038588","CG7156"
"FBgn0100148",92.6205390192729,59.3452811505521,0.00362022578261277,7.20444053553797,-1.56070604475367,-0.642198834745949,"FBgn0038586","CG7168"
"FBgn0100149",127.628506705132,87.8165040713399,0.000236823586825788,5.11483145092534,-1.45335444692093,-0.539386593166506,"FBgn0038584","mTerf5"
"FBgn0100155",691.428417497406,1113.41956424642,0.0038622065340291,92.5981867032407,1.61031791009747,0.687345534330482,"FBgn0264357","SNF4Agamma"
"FBgn0100156",217.67330166357,88.1498720525378,2.05566208159768e-05,10.8163838361335,-2.46935470914621,-1.30413408652943,"FBgn0038869","Smyd5"
"FBgn0100159",412.108004274311,585.678163461364,0.000411016816935027,24.6596277701763,1.42117638431385,0.507085620719319,"FBgn0053105","p24-2"
"FBgn0100160",37.3838762944835,72.600676196389,0.00628361984210799,8.56775415878553,1.94203178997525,0.957566817062078,"FBgn0037730","CG9444"
"FBgn0100162",42.2666372595011,16.6379654181978,0.000696518641274964,4.01630548896612,-2.54037294808125,-1.34504031229281,"FBgn0003312","sad"
"FBgn0100164",0.239821962134549,79.7876002792436,0.00101476611779292,13.3870169910101,332.695135879506,8.3780569634382,"FBgn0085336","CG34307"
"FBgn0100166",0,83.7024064234577,6.87165604273274e-07,3.91905044832963,Inf,Inf,"FBgn0037964","CG14731"
"FBgn0100168",180.028001192345,42.255671642964,0.000234113472979602,17.6634229035308,-4.26044585714974,-2.09100441689249,"FBgn0010438","mtSSB"
"FBgn0100170",741.61849338545,1131.61452597816,0.0294698003445919,137.201386562475,1.52587150411042,0.609633475810694,"FBgn0038407","CG6126"
"FBgn0100171",376.229866624558,671.937091297489,0.000553362948289926,44.3894322271231,1.78597488106392,0.83671178974281,"FBgn0003862","trx"
"FBgn0100172",0,31.1938912994677,0.000715618889598125,4.9133590448862,Inf,Inf,"FBgn0038218","CG14841"
"FBgn0100173",0,68.9855938774562,0.00207215334605473,13.3405419662183,Inf,Inf,"FBgn0038217","CG14840"
"FBgn0100178",33.5736119668309,75.7045358546672,0.0113066809817728,11.6887583471617,2.25488207612156,1.17305198663225,"FBgn0015591","AstA"
"FBgn0100182",487.967708689513,760.858656226231,0.00246780352392666,54.6471529874423,1.55923976664275,0.640842790479274,"FBgn0260744","Tango9"
"FBgn0100187",1.47244633238934,196.011591476936,0.000189211625031466,24.001502527475,133.119684680709,7.05658011107283,"FBgn0037742","Rpt3R"
"FBgn0100189",99.2575152376801,29.1986619933455,9.78211583693171e-06,5.14888972669807,-3.39938574104187,-1.76527407918248,"FBgn0037739","CG12948"
"FBgn0100190",2.19666516265376,5.09654814142256,0.0112734370332013,0.803992958839475,2.3201297257637,1.21420547323374,"FBgn0085438","CG34409"
"FBgn0100195",216.685864916425,339.172327341803,0.000476679022102243,17.8846991955972,1.5652720470374,0.646413421888141,"FBgn0067783","DPCoAC"
